Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagonr,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0
vitara,2018,9.25,10.38,2071,Diesel,Dealer,Manual,0
alto,2015,3.10,4.43,21000,Petrol,Dealer,Manual,0
ertiga,2016,7.40,10.79,43000,Diesel,Dealer,Manual,0
dzire,2013,3.65,7.21,50000,Petrol,Dealer,Manual,0
innova,2015,11.25,13.60,40000,Diesel,Dealer,Automatic,0
city,2017,9.50,11.80,15000,Petrol,Dealer,Manual,0
amaze,2016,5.50,7.00,35000,Diesel,Individual,Manual,1
i20,2018,6.75,8.50,12000,Petrol,Dealer,Manual,0
verna,2019,10.25,12.00,10000,Diesel,Dealer,Automatic,0
creta,2020,12.50,15.00,8000,Diesel,Dealer,Automatic,0
baleno,2017,5.85,7.50,22000,Petrol,Individual,Manual,0
brio,2015,4.10,5.90,30000,Petrol,Dealer,Manual,0
jazz,2016,5.75,7.20,25000,Petrol,Dealer,Manual,0
ecosport,2018,8.50,11.00,18000,Diesel,Dealer,Manual,0
xuv500,2019,13.75,16.50,22000,Diesel,Dealer,Automatic,0